ACFF007,ACNO001,ACPP013,ACWS002,EES007,EMM021,EWW039,LBB016,LBU027,LUN019,OBI017,ODE022,ODE027,SEL022,SFO008,SFO010,SGM032,SMO028
ACEV016,ACSP022,EDO015,LAL025,LBI033,LBI045,LMA013,LMA045,OBI002,OBI025,ORE008,PCA020,PCA030,PFF019,SDD028,SFO021,SIB007,SRR016
ACGD009,ACGM025,EAG013,ECF020,EES019,FHI007,LBI045,LBU016,LMA006,LMA045,OBI002,PFF019,PMO007,SDD028,SFO021,SRR016,SSS017,STE013
ACGD007,ACPH003,EAG029,EBT005,FHI007,FSP002,HEV005,LMA045,OBI002,PCA020,PFF019,PMO007,SCC005,SDD028,SFO021,SOD019,SRR016,SSS017
ACNO001,ACPP013,ACWS002,EEG025,EES007,EMM021,ERO027,EWW039,LBB016,LBB019,LUN019,ODE022,ODE027,SEL022,SFO010,SGM032,SMO028,SOD030
EAG025,ECF005,EOW018,FSC005,HEV005,LBB011,LBI014,LCC011,LVE017,ODE030,OFI036,OMA009,PCA030,PFF019,SDD028,SGD015,SMA024,SNV020
ACGD007,ACGM025,ACPH003,EAG029,EBT005,EWW038,FHI007,HEV005,LMA045,LPR022,OBI002,PCA020,PFF019,PMO007,SCC005,SFO021,SSS017,STE013
ACAZ008,ACGM025,ACTA001,ACTA011,EHH002,EJF009,EOW002,EWW001,LAM025,LBI014,LPL010,LPL023,PCA020,PHE003,SBB016,SCC003,SCO003,SDD028
ACAL019,ACAL031,ACMU002,ACNO001,EDO003,EES007,EMM021,EMM025,EOW005,LAL022,MYSC004,OWA005,SCO004,SCO005,SEN002,SFN025,SFO010,SMO028
ACAL019,ACAL031,ACMU002,EDO003,EES007,EMM021,EMM025,LAL022,LRE009,MYSC004,OWA005,PMO003,SCO004,SEN002,SFO010,SGM007,SMO024,SOD012
ACEV016,ACGD010,ACMO004,EAF004,EAG025,EEG008,EJP012,HEV005,LBB008,ODE030,OMA010,PCA030,SBB018,SCC005,SDD028,SMA022,SMA024,SNV020
ACAL019,ACFF007,ACMU002,ACNO001,EES007,EMM025,EWW025,EWW041,LCA015,LRE009,ORE006,ORF003,OWA005,PHE022,PMO012,SFO010,SFO021,SMO028
ACEV016,ACOO007,ACSP022,EDO015,LAL025,LAM009,LBI033,LBI045,LMA013,LMA045,OBI002,OBI025,PCA020,PCA030,PFF019,SFO021,SIB007,SRR016
ACAL019,ACAL031,ACMU002,ACNO001,EDO003,EES007,EMM021,EMM025,EOW005,LAL022,LRE009,OWA005,SCO004,SCO005,SEN002,SFO010,SMO028,STE011
ACAZ008,ACGM025,ACTA011,EES019,EHH002,EJF009,EOW002,EWW001,LBI014,LPL023,OBI024,PCA020,PHE003,SBB016,SCC003,SCO006,SDD028,SMA022
ACFF007,ACNO001,ACPP013,ACWS002,EES007,EMM021,ERO027,EWW039,LBB016,LBU027,LPL020,LUN019,ODE022,ODE027,SEL022,SFO010,SGM032,SMO028
