ACPH003,ACTA017,EBT001,ELT011,LAM027,LBI039,LCR003,LUN020,OMW001,OWA020,PCA005,PFF012,POM020,SCO005,SFN001,SGM032,SIB006,SMA025
ACTA017,EBT001,ECF019,EDO022,ELT011,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SGM032,SMA025,SZO011
ACTA017,EBT001,EDO022,ELT011,EPP003,LAM027,LBI039,LCR003,OMW001,OSH016,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032
ACMU010,ACSP005,EMM002,ERO013,LHY005,LPR009,LPR015,OCE005,OCE019,OFI040,OSH011,PHE030,SBB016,SEN019,SIW007,SIW017,SME008,SME012
ACNO017,EJP020,EMM002,FSC007,LPR015,MYSP002,OFI040,OSH011,PHE017,PHE024,SGD013,SIW017,SMO005,SNB008,SPL005,SSS002,SSS017,SST033
LAM027,LBI039,LCR003,LMA028,LUN020,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SFN017,SGM032,SIB006,SMA025,SME018
ACMU010,ACNO039,ACSP005,EJP020,ERO013,LHY005,LPR008,LPR009,LPR015,OCE005,OCE019,OFI040,OSH011,SEN019,SIW007,SIW017,SME008,SME012
ACFF002,ACTA017,EDO022,ELT011,EPP003,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SMA025
ACEV015,ACNO017,ACRR006,EJP020,EMM002,EWW003,LPR015,MYSE002,OCE005,OSH011,PCA031,PHE017,SGD013,SIW017,SMO001,SPL005,SSS002,SST033
ACGM058,ACNO017,ACNO039,ACSP005,EMM002,EOW026,ERO033,LHY005,LPR009,LPR015,OCE005,OFI040,PMO011,SEN019,SIW017,SME008,SME012,SNB008
ACNO017,EHH003,EJF009,EMM002,ERO033,EWW032,LPR009,LPR015,LUN008,ODE002,PMO005,SCO003,SEN019,SIW007,SIW017,SMO006,SNV013,SWA028
ACGM018,ACGM050,ACTO002,ACTO003,EAF003,EAG028,EHH016,EWO020,LBI040,LPL012,LPL030,LRE031,OCP010,ODE008,PAN019,SSS028,STE010,STE012
ACGM050,ACTO002,ACTO003,EAF003,EAG028,EHH016,EWO020,LBI040,LPL012,LPL030,LRE031,OCP010,ORR003,PAN009,PAN019,SSS028,STE010,STE012
ACTA017,EBT001,ELT011,LBI039,LCR003,LUN020,OMW001,OWA010,OWA017,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SFN024,SGM032,SIB006
ACTA017,EBT001,EDO022,ELT011,EPP003,LAM027,LBI039,LCR003,OMW001,OWA010,OWA020,PCA005,PFF012,PHE026,POM020,SFN001,SGM032,SMA025
