Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
14, 44.29999, 67.67602, 91.39999, "[1.0, 0.98, 0.94, 0.98, 0.98, 0.8, 1.0, 1.0, 0.98, 0.98, 0.98, 0.98, 0.92, 0.32, 0.9, 0.92, 0.98, 0.68, 0.96, 1.0]", "[EES008, ERO001, EWW036, LAM019, LAM027, LDG020, LDG023, LMC015, LPR012, OBI021, OCE012, OFI031, OSH001, PFF012, SEL010, SEN007, SSS032, SST009]"
15, 45.999996, 73.54001, 90.09999, "[1.0, 0.92, 0.94, 0.96, 0.94, 0.8, 0.96, 1.0, 1.0, 0.94, 0.94, 0.98, 0.88, 0.24, 0.88, 0.88, 1.0, 0.78, 0.98, 1.0]", "[EES008, ERO001, EWW036, LAM019, LAM027, LDG020, LDG023, LMC015, LPR012, OBI021, OCE012, OFI031, OSH001, PFF012, SEL010, SEN007, SSS032, SST009]"
16, 38.3, 75.702, 90.4, "[1.0, 0.98, 1.0, 0.9, 0.98, 0.76, 0.98, 1.0, 0.96, 1.0, 0.96, 0.98, 0.88, 0.3, 0.88, 0.82, 1.0, 0.7, 1.0, 1.0]", "[EES008, ERO001, EWW036, LAM019, LAM027, LDG020, LDG023, LMC015, LPR012, OBI021, OCE012, OFI031, OSH001, PFF012, SEL010, SEN007, SSS032, SST009]"
17, 35.600002, 76.664, 90.9, "[1.0, 0.94, 1.0, 0.96, 0.98, 0.82, 0.9, 1.0, 1.0, 1.0, 0.96, 1.0, 0.8, 0.3, 0.94, 0.88, 0.98, 0.72, 1.0, 1.0]", "[EES008, ERO001, EWW036, LAM019, LAM027, LDG020, LDG023, LPR012, OBI021, OCE012, OFI031, OMW013, OSH001, PFF012, SEL010, SEN007, SSS032, SST009]"
18, 45.899998, 79.502, 93.29999, "[1.0, 0.98, 1.0, 0.96, 1.0, 0.84, 0.98, 1.0, 1.0, 1.0, 0.98, 0.98, 0.94, 0.42, 0.88, 0.9, 1.0, 0.8, 1.0, 1.0]", "[EES008, ERO001, EWW036, LAM015, LAM016, LAM019, LAM027, LDG023, LMC015, LPR012, LUN028, OCE012, OFI031, OSH001, PFF012, SMW015, SSS032, SST009]"
19, 50.5, 79.868004, 94.299995, "[1.0, 1.0, 0.98, 0.96, 1.0, 0.84, 0.96, 1.0, 1.0, 1.0, 0.98, 1.0, 0.94, 0.5, 0.94, 0.9, 1.0, 0.86, 1.0, 1.0]", "[EES008, ERO001, EWW036, LAM015, LAM016, LAM019, LAM027, LDG023, LMC015, LPR012, LUN028, OCE012, OFI031, OSH001, PFF012, SMW015, SSS032, SST009]"
20, 64.4, 84.302, 94.799995, "[1.0, 1.0, 1.0, 1.0, 0.98, 0.88, 1.0, 1.0, 0.98, 1.0, 0.94, 0.98, 0.9, 0.56, 1.0, 0.86, 1.0, 0.88, 1.0, 1.0]", "[EES008, ERO001, EWW036, LAM015, LAM016, LAM019, LAM027, LDG023, LMC015, LPR012, LUN028, OCE012, OFI031, OSH001, PFF012, SMW015, SSS032, SST009]"
21, 66.00001, 85.96198, 95.2, "[1.0, 1.0, 1.0, 1.0, 1.0, 0.84, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.52, 0.98, 0.88, 1.0, 0.88, 1.0, 1.0]", "[EES008, EPP016, EWW036, LAM015, LAM016, LAM019, LAM027, LDG023, LMC015, LPR012, LUN028, OCE012, OFI031, OSH001, PFF012, SMW015, SSS032, SST009]"
22, 70.9, 88.656006, 95.4, "[1.0, 1.0, 0.98, 0.98, 1.0, 0.88, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.96, 0.54, 0.96, 0.92, 1.0, 0.88, 1.0, 1.0]", "[EES008, ESS009, EWW036, LAM014, LAM015, LAM016, LAM026, LAM027, LCC010, LMC015, LPR012, LUN028, OCE012, OFI031, OSH001, PFF012, SMW015, SST009]"
23, 73.200005, 88.374, 99.6, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 0.98, 1.0, 0.98, 1.0, 1.0]", "[ACNO039, EES008, EJP005, ERO001, EWW028, LAM027, LMC015, LPR012, OCE012, OSH001, PFF012, SEL010, SEN007, SGD016, SMA025, SMW015, SST029, STE001]"
24, 72.700005, 90.53801, 99.799995, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO039, EES008, EJP005, ERO001, EWW028, LAM027, LMC015, LPR012, OCE012, OSH001, PFF012, SEL010, SEN007, SGD016, SMA025, SMW015, SST029, STE001]"
25, 67.50001, 91.68798, 99.899994, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO039, EES008, EJP005, ERO001, EWW028, LAM027, LPR012, OCE012, OSH001, PFF012, PFF016, SEL010, SEN007, SMA025, SMW015, SST011, SST029, STE001]"
26, 77.8, 97.12201, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO039, EES008, ERO001, EWW028, LAM027, LBU011, LPR012, OCE012, OSH001, PFF012, PFF016, SEL010, SEN007, SMA025, SMW015, SST011, SST029, STE001]"
27, 77.100006, 97.67999, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO039, ACPH004, EES008, ERO001, EWW028, LAM027, LPR012, OCE012, OSH001, PFF012, PFF016, SEL010, SEN007, SMA025, SMW015, SST011, SST029, STE001]"
28, 93.09999, 99.04602, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO039, EES008, ERO001, EWW028, LAM027, LBU011, LPR012, OCE012, OSH001, PFF012, PFF016, SAA010, SEL010, SEN007, SGM011, SMA025, SST011, SST029]"
29, 91.6, 98.98401, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO039, ACPH004, EES008, ERO001, EWW024, EWW028, LPR012, OCE012, OSH001, PFF012, PFF016, SEL010, SEN007, SMA025, SMW015, SST011, SST029, STE001]"
30, 90.3, 99.29601, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[EES008, EJP005, EJP025, ERO001, EWW028, LAM027, LBI025, LCC017, LMC015, LPR012, OCE012, OCP002, OSH001, PFF012, SGD016, SMA025, SNV039, SST029]"
31, 91.7, 99.282005, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[EES008, EJP005, EOW002, ERO001, EWW028, HEV005, LAM027, LCC017, LMC015, LPR012, OCE012, OCP002, OSH001, SEL010, SMA025, SNV039, SSS014, STE001]"
32, 86.2, 99.232, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[EES008, ERO001, EWW028, LAM027, LCC017, LMC015, LPR012, LUN019, OCP002, OSH001, PFF012, POM018, SCO015, SGD016, SMA025, SNV039, SST029, STE001]"
