ACAL011,ACSP012,EAG010,EEE012,EMM035,LHY003,LMC008,LPL027,LPR012,LRE029,MYHI002,OFI030,PHE019,SAS003,SDD009,SFN010,SGM030,SNB021
ACAL011,ACAM001,ACGM025,ACPH013,ACPP008,ACPP017,EWW033,LHY003,LTT018,MYHI002,OBI016,OFI030,OMW012,PHE019,SAS012,SEV002,SIW005,SWA014
ACAL011,ACAM001,EHC007,EWW033,LHY003,LTT018,LUN001,LUN006,LUN018,MYHI002,OBI016,OFI030,PHE019,POM018,SAS012,SEV002,SMT006,STE015
ACAM001,ACPH013,ACPP008,EEG003,EWW033,LBI042,LHY003,LPR010,LTT018,LUN018,MYHI002,OFI030,PHE019,SAS012,SBB018,SEV002,STE015,SWA010
ACAM008,ACEV007,EJP027,EMM007,FHI001,LAM019,LBI009,LBI025,LBI031,LUN024,OBI007,OMW001,OSH012,SBB007,SMO001,SNV016,SPI013,SST034
ACAL011,ACAM001,ACGM025,ACPH013,ACPP008,ESS009,EWW033,HEV005,LAL021,LPR010,MYHI002,OBI016,OFI030,PHE019,PMO022,SEV002,SFN010,SNV021
ACMU005,ACNO002,EOW010,ERO023,LBB014,LBB020,LBU012,LCA008,LCC016,OBI016,OFI029,OSH002,OWA024,PIC016,SGD004,SNV017,SWA025,SZO013
ACFF006,ACMU005,ACNO007,EEE009,EMM027,EOW010,ERO023,HEV007,LBB014,LBB020,LBU012,LCC016,OBI016,PAN027,PIC016,SGM022,SMA010,SZO013
ACPP003,ACSP016,ACTA014,EPP018,EWW031,LBI009,LBI032,LUN013,LVE031,MYSC004,OFF016,OSH003,SAS011,SIW004,SMT004,SMT011,SNB020,SNV002
ACAL011,ACAM001,ACAM004,ACGM025,EWW033,LAL034,LHY003,LMA043,LTT018,LUN018,MYHI002,OBI016,OFI030,PAN012,PAN029,PHE019,SEV002,SFN010
ACAM008,ACEV007,ACWS017,ECF003,EJP027,EMM007,FHI001,LAM001,LAM019,LBI009,LUN024,OMW001,OSH012,SBB007,SMO001,SNV016,SPI013,SST034
ACAL011,ACAM001,ACPH013,ACPP008,ESY007,EWW033,LBI042,LHY003,LPR010,LUN018,MYHI002,OFI030,PHE019,SAS012,SBB018,SEV002,STE015,SWA010
ACAL011,ACAM001,ACGM025,ACPH013,ACPP008,ACWS022,EMM019,ETT006,EWW033,LTT018,LUN018,LVE033,MYHI002,OBI016,OFI030,SEV002,SFN010,STE003
ACAL011,ACAM001,ACGD003,EHC007,EWW033,LHY003,LTT018,LUN001,LUN018,MYHI002,OBI016,OFI030,POM018,SAS012,SEV002,SFN010,SMT006,STE015
ACAL035,ACNO034,ACSP016,ACTA014,EPP018,EWO021,EWW031,LBI009,LBI032,LUN013,LVE031,MYSC004,OFF016,OSH003,SAS011,SMT004,SMT011,SNB020
ACAL011,ACAM001,ACGM025,ACPH013,ACPP008,ACPP017,EWW033,LHY003,LMA043,LRE005,LTT018,LUN018,MYHI002,OBI016,OMW012,PHE019,SAS012,SEV002
