Generation, WorstFit, AvgFit, BestFit, BestFirDistribution, BestDeck
19, 77.4, 96.050026, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF008, EES008, EHH014, EPP010, ERO012, LCA010, LDG004, LPR012, OCP002, OFF010, PFF016, SBB012, SEL001, SEL020, SMA025, SNV017, SOD016, STE019]"
20, 70.6, 95.07698, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF008, EHH014, ERO012, LCA010, LDG004, LPR012, OCP002, OCP022, OFF010, OMW015, PFF016, SBB012, SEL001, SEL020, SMA025, SNV017, SOD016, STE019]"
21, 74.799995, 95.19298, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF008, EES008, EHH014, LCA010, LDG004, LPR012, OCP002, OCP022, OFF010, PFF016, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, STE019]"
22, 69.99999, 95.76199, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACEV005, EES008, EHH014, EPP023, LCA010, LDG004, LPR012, OCP002, OFF010, PFF016, SBB012, SEL001, SEL020, SMA025, SNV017, SOD016, SPI001, STE019]"
23, 73.2, 96.64803, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ECF008, EES008, EHH014, LCA010, LDG004, LPR012, OCP022, OFF010, PFF016, SBB012, SEL001, SEL020, SEL023, SIW001, SMA025, SNV017, SOD016, STE019]"
24, 76.2, 96.82806, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACPH014, EES008, LCA010, LDG004, LPR012, OBI024, OCP002, OCP022, ORR019, PFF016, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, STE019]"
25, 55.800003, 97.18606, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACPH011, ACPH014, EES008, LCA010, LDG004, LPR012, OBI024, OCP002, OCP022, ORR019, PFF016, SBB012, SEL001, SEL020, SMA025, SNV017, SOD016, STE019]"
26, 78.4, 97.42702, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACPP036, EES008, LCA010, LDG004, LPR012, OBI024, OCE004, OCP002, OCP022, OMA032, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, STE019]"
27, 69.399994, 97.46306, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACNO001, ACPP036, EES008, LCA010, LDG004, LPR012, OCE004, OCP002, OCP022, OMA032, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, STE019]"
28, 76.0, 97.78406, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACPP036, ACTA008, ECF008, EES008, LBU037, LDG004, LPR012, OBI024, OCE004, OCP002, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, STE019]"
29, 86.6, 98.12404, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACPP036, EES008, EJP023, LDG004, LPR012, OBI024, OCE004, OCP002, OMA032, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, SPI002, STE019]"
30, 78.799995, 97.912025, 100.0, "[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]", "[ACPP031, ECF008, EES008, EWW005, LCA005, LCA010, LDG004, LPR012, OCP002, PFF016, SBB012, SEL001, SEL020, SIW001, SMA025, SNV017, SOD016, STE019]"
